0.20328685714286D+02       579
(x,y,z) position of the X-ray source
 -0.1147E+01 -0.7259E-01 -0.1385E+01
x | y | z | R | rho
  4.9307E-02  3.6579E-01  9.8539E+00  3.1941E-01  4.9813E-03
 -1.5197E+00  1.4074E-01  9.4592E+00  3.1318E-01  5.2846E-03
 -7.0402E-01  2.1368E-01  9.3344E+00  3.0827E-01  5.5413E-03
  5.8713E-01  1.1503E-02  9.2842E+00  3.0690E-01  5.6159E-03
 -1.9568E-02  2.7534E-01  9.2381E+00  3.0553E-01  5.6919E-03
  1.4297E+00  1.3839E-01  8.7749E+00  2.9751E-01  6.1644E-03
  2.1513E-01  1.9657E-01  8.8506E+00  2.9668E-01  6.2166E-03
  1.3493E+00  1.9454E-01  8.4446E+00  2.8969E-01  6.6775E-03
  1.7198E+00  2.4009E-01  8.3267E+00  2.8856E-01  6.7558E-03
  6.5515E-01 -1.8200E-01  8.4423E+00  2.8772E-01  6.8155E-03
 -1.4150E-01  1.8882E-01  8.1897E+00  2.8121E-01  7.2999E-03
  9.1434E-01 -1.9899E-01  7.9100E+00  2.7579E-01  7.7391E-03
 -9.8795E-01 -1.5635E-01  7.8538E+00  2.7464E-01  7.8365E-03
 -7.9721E-01  1.2355E-01  7.3832E+00  2.6276E-01  8.9476E-03
 -1.5719E+00 -1.8864E-01  6.9881E+00  2.5631E-01  9.6412E-03
 -1.8599E+00 -1.9753E-01  6.8306E+00  2.5424E-01  9.8784E-03
  1.7829E+00 -3.1263E-01  6.5643E+00  2.4739E-01  1.0721E-02
  8.9094E-01 -2.0163E-01  6.6880E+00  2.4590E-01  1.0918E-02
  1.8803E-02  2.2560E-01  6.5099E+00  2.3987E-01  1.1761E-02
  1.7455E+00  2.4639E-01  6.2463E+00  2.3927E-01  1.1851E-02
  1.8403E+00  3.1731E-01  6.1050E+00  2.3653E-01  1.2266E-02
 -2.0118E+00  2.5897E-02  6.0589E+00  2.3653E-01  1.2266E-02
 -6.7217E-01  6.2183E-02  6.3130E+00  2.3562E-01  1.2410E-02
 -1.3135E+00  4.5830E-02  6.1633E+00  2.3440E-01  1.2604E-02
